model,intercept,slope,log_lik
532,-2.95,0.042,-241.30392738347845
533,-2.95,0.044,-233.51136931408487
534,-2.95,0.046,-225.7829829228785
535,-2.95,0.048,-218.12415945117925
536,-2.95,0.05,-210.54075696139918
537,-2.95,0.052000000000000005,-203.0391418659511
538,-2.95,0.054,-195.6262342396734
539,-2.95,0.056,-188.30955726772308
540,-2.95,0.058,-181.09729121422916
541,-2.95,0.06,-173.9983323335463
542,-2.95,0.062,-167.0223571860195
543,-2.95,0.064,-160.1798928641064
544,-2.95,0.066,-153.4823936828838
545,-2.95,0.068,-146.94232494180588
546,-2.95,0.07,-140.57325442253654
547,-2.95,0.07200000000000001,-134.38995235125498
548,-2.95,0.074,-128.40850062357703
549,-2.95,0.076,-122.64641216675803
550,-2.95,0.078,-117.12276139780988
551,-2.95,0.08,-111.85832682830798
552,-2.95,0.082,-106.8757469677934
553,-2.95,0.084,-102.19969078867523
554,-2.95,0.08600000000000001,-97.85704413738516
555,-2.95,0.088,-93.87711361030358
556,-2.95,0.09,-90.29184955984474
557,-2.95,0.092,-87.13609005735577
558,-2.95,0.094,-84.4478278165799
559,-2.95,0.096,-82.26850227592998
560,-2.95,0.098,-80.6433192514443
561,-2.95,0.1,-79.62160080695686
562,-2.945,0,-413.0755485531876
563,-2.945,0.002,-404.6540744395321
564,-2.945,0.004,-396.2449719435991
565,-2.945,0.006,-387.8492282002389
566,-2.945,0.008,-379.46791177890805
567,-2.945,0.01,-371.10217961352384
568,-2.945,0.012,-362.7532845388758
569,-2.945,0.014,-354.4225834880341
570,-2.945,0.016,-346.11154641019164
571,-2.945,0.018000000000000002,-337.82176597383466
572,-2.945,0.02,-329.5549681261163
573,-2.945,0.022,-321.3130235858374
574,-2.945,0.024,-313.09796035459266
575,-2.945,0.026000000000000002,-304.91197733845667
576,-2.945,0.028,-296.7574591811477
577,-2.945,0.03,-288.6369924189698
578,-2.945,0.032,-280.55338307808677
579,-2.945,0.034,-272.50967584590217
580,-2.945,0.036000000000000004,-264.5091749606036
581,-2.945,0.038,-256.5554669763806
582,-2.945,0.04,-248.65244557655183
583,-2.945,0.042,-240.80433862296755
584,-2.945,0.044,-233.01573764771842
585,-2.945,0.046,-225.29163001253198
586,-2.945,0.048,-217.63743398243778
587,-2.945,0.05,-210.05903698350784
588,-2.945,0.052000000000000005,-202.56283733992998
589,-2.945,0.054,-195.15578981356217
590,-2.945,0.056,-187.8454552996838
591,-2.945,0.058,-180.64005506616857
592,-2.945,0.06,-173.54852996003163
593,-2.945,0.062,-166.58060504557858
594,-2.945,0.064,-159.74686018253755
595,-2.945,0.066,-153.05880710097867
596,-2.945,0.068,-146.52897358292952
597,-2.945,0.07,-140.17099541884272
598,-2.945,0.07200000000000001,-133.99971687096428
599,-2.945,0.074,-128.03130044574723
600,-2.945,0.076,-122.28334685436009
601,-2.945,0.078,-116.77502612472793
602,-2.945,0.08,-111.52722092114882
603,-2.945,0.082,-106.56268322916517
604,-2.945,0.084,-101.90620567492482
605,-2.945,0.08600000000000001,-97.58480887072552
606,-2.945,0.088,-93.62794631287336
607,-2.945,0.09,-90.06772850559051
608,-2.945,0.092,-86.93916814678344
609,-2.945,0.094,-84.28044838946555
610,-2.945,0.096,-82.13321638809906
611,-2.945,0.098,-80.54290455381819
612,-2.945,0.1,-79.55908217833071
613,-2.94,0,-412.5363589789928
614,-2.94,0.002,-404.11568950469103
615,-2.94,0.004,-395.7074536611037
616,-2.94,0.006,-387.31264353111504
617,-2.94,0.008,-378.9323330404084
618,-2.94,0.01,-370.5676849220565
619,-2.94,0.012,-362.2199582907092
620,-2.94,0.014,-353.89051688109214
621,-2.94,0.016,-345.58083801054903
