model,intercept,slope,log_lik
498,-1.9,0.43000000000000005,-405.078777078524
499,-1.9,0.44000000000000006,-416.2159355975774
500,-1.9,0.45000000000000007,-427.4130203720375
501,-1.9,0.45999999999999996,-438.66572159124013
502,-1.9,0.47,-449.9700554409974
503,-1.9,0.48,-461.3223394334638
504,-1.9,0.49,-472.719169748672
505,-1.9,0.5,-484.15740039504215
506,-1.875,-0.5,-288.07344072462604
507,-1.875,-0.49,-284.5879874894953
508,-1.875,-0.48,-281.1044086804538
509,-1.875,-0.47,-277.6228204405554
510,-1.875,-0.46,-274.14334955463846
511,-1.875,-0.45,-270.66613461117413
512,-1.875,-0.44,-267.1913273060516
513,-1.875,-0.43,-263.71909390748596
514,-1.875,-0.42,-260.2496169040734
515,-1.875,-0.41000000000000003,-256.78309686131337
516,-1.875,-0.4,-253.31975451573513
517,-1.875,-0.39,-249.85983314020152
518,-1.875,-0.38,-246.40360121911831
519,-1.875,-0.37,-242.95135547826902
520,-1.875,-0.36,-239.50342432096912
521,-1.875,-0.35,-236.0601717303482
522,-1.875,-0.33999999999999997,-232.6220017070166
523,-1.875,-0.32999999999999996,-229.18936332237473
524,-1.875,-0.32,-225.76275648062852
525,-1.875,-0.31,-222.34273849747964
526,-1.875,-0.3,-218.92993162079358
527,-1.875,-0.29000000000000004,-215.5250316386894
528,-1.875,-0.28,-212.1288177438682
529,-1.875,-0.27,-208.74216385006446
530,-1.875,-0.26,-205.36605158778048
531,-1.875,-0.25,-202.0015852424806
532,-1.875,-0.24,-198.6500089397282
533,-1.875,-0.22999999999999998,-195.3127264288652
534,-1.875,-0.21999999999999997,-191.99132387020475
535,-1.875,-0.21000000000000002,-188.68759609060803
536,-1.875,-0.2,-185.40357683874296
537,-1.875,-0.19,-182.14157364378565
538,-1.875,-0.18,-178.9042079586078
539,-1.875,-0.16999999999999998,-175.69446134825577
540,-1.875,-0.15999999999999998,-172.51572856278887
541,-1.875,-0.14999999999999997,-169.37187840396712
542,-1.875,-0.14,-166.26732334819968
543,-1.875,-0.13,-163.20709890932878
544,-1.875,-0.12,-160.19695369380221
545,-1.875,-0.10999999999999999,-157.2434509890126
546,-1.875,-0.09999999999999998,-154.35408249417839
